IDa	Descriptionf
DCV144_C	Noise_of_distance_between_nuclear_outline_point_D6-2_in_bud_and_middle_point_of_neck
DCV145_C	Noise_of_distance_between_nuclear_outline_point_D7_in_mother_and_mother_hip
DCV146_C	Noise_of_distance_between_nuclear_outline_point_D8_in_bud_and_bud_tip
DCV147_C	Noise_of_relative_distance_of_nuclear_gravity_center_in_mother_to_mother_center
DCV148_C	Noise_of_relative_distance_of_nuclear_brightest_point_in_mother_to_mother_center
DCV149_C	Noise_of_relative_distance_of_nuclear_gravity_center_in_bud_to_bud_center
DCV150_C	Noise_of_relative_distance_of_nuclear_brightest_point_in_bud_to_bud_center
DCV151_C	Noise_of_ratio_of_distance_between_each_nucleus_and_middle_point_of_neck
DCV152_C	Noise_of_mobility_of_nucleus_in_mother
DCV153_C	Noise_of_mobility_of_nucleus_in_bud
DCV154_C	Noise_of_angle_between_C1D1-1_and_C1C1-2
DCV155_C	Noise_of_angle_between_C1D2-1_and_C1C1-2
DCV156_C	Noise_of_angle_between_C2D1-2_and_C2C4-2
DCV157_C	Noise_of_angle_between_C2D2-2_and_C2C4-2
DCV158_C	Noise_of_angle_between_D1-1D1-2_and_C1-1C1-2
DCV159_C	Noise_of_angle_between_D2-1D2-2_and_C1-1C1-2
DCV162_C	Noise_of_angle_between_D1-1D1-2_and_C1C4-1
DCV163_C	Noise_of_angle_between_D2-1D2-2_and_C1C4-1
DCV166_C	Noise_of_angle_between_D1-1D1-2_and_C4-1C4-2
DCV167_C	Noise_of_angle_between_D2-1D2-2_and_C4-1C4-2
DCV169_C	Noise_of_angle_between_C4-1D1-1_and_C4-1C1
DCV170_C	Noise_of_angle_between_C4-1D2-1_and_C4-1C1
DCV173_C	Noise_of_maximal_distance_between_nuclear_gravity_center_and_nuclear_outline_in_mother
DCV174_C	Noise_of_maximal_distance_between_nuclear_gravity_center_and_nuclear_outline_in_bud
DCV176_C	Noise_of_nuclear_long_axis_length_in_mother
DCV177_C	Noise_of_nuclear_long_axis_length_in_bud
